text,start,end
 That I think our entire team member will continue,1796.394,1799.994
 uh... to do,1800.042,1802.01
 in order for it to become a more competitive and more efficient company.,1804.938,1807.962
 our customer,1808.106,1812.57
,1812.57,1812.57
 To be able maintain or improve payment terms but at this point,1812.81,1815.713
" of time, these are the payment terms we have been talking about",1815.713,1818.81
 we've been discussing,1818.954,1822.746
 have also,1823.082,1826.178
 been not just,1826.178,1829.2740000000001
" To us, it's also from their customer as well. So, these are just the business style.",1829.802,1831.29
 decision we do need to make.,1831.53,1834.554
 I,1834.794,1836.314
 will say,1836.314,1839.354
 ก็คือ,1839.402,1842.426
 Some,1842.762,1845.69
 uh,1845.93,1849.05
" So, if an investor wants",1849.386,1850.874
 As I have been asked since the market,1851.306,1854.666
" price currently in Thailand is quite low,",1854.666,1858.3619999999999
" Inclusive data, we may get only a little money from the capital increase.",1858.41,1860.186
 But it will have a big impact.,1860.234,1861.914
 To share dilutions,1862.058,1868.018
.,1868.018,1869.21
 There,1869.354,1872.186
 The stock market pricing,1878.09,1881.5269999999998
 is not at its,1881.5269999999998,1883.8179999999998
 most favorable.,1883.8179999999998,1886.6819999999998
 rising,1886.826,1888.496
 right now.,1888.496,1891.0020000000002
 That KUNZO shows it to you.,1892.298,1896.186
 There are mass expansion,1896.426,1898.298
 That is required.,1898.442,1902.234
 and also,1902.282,1906.2279999999998
 get new,1906.2279999999998,1908.858
 new possible,1909.098,1910.586
 business opportunities,1911.594,1915.674
,1915.674,1915.674
 As a,1915.722,1919.706
 Management.,1919.85,1921.434
 Team,1921.482,1924.026
 What price? What's the right price for the our stock?,1924.17,1926.33
 stock pricey.,1926.666,1928.538
 What we,1928.586,1930.746
 uh... to perform like i said,1930.986,1931.802
 costs.,1931.946,1932.762
 and try improve our performance.,1933.386,1935.546
 And in terms of having a better,1936.65,1938.81
 Sure.,1938.954,1942.938
 dividend,1942.986,1944.954
 or payout in future.,1945.098,1947.354
" Right now, we do need",1947.498,1949.754
 new share released in order to gain,1949.802,1951.002
 And it's a very important mission for us right now.,1951.242,1953.306
 we work,1953.45,1954.65
 we would like to still continue to,1955.082,1957.242
 can support,1957.578,1959.985
 us on this.,1959.985,1963.194
 uh... what's a cool,1964.01,1964.922
 uh,1964.97,1966.266
 Asphalogy,2050.602,2054.682
,2054.682,2054.682
 ,2055.018,2055.018
 me,2055.018,2061.978
 or generate,2087.178,2087.994
 Hi,2088.426,2089.242
 handle together with the company.,2089.29,2091.066
" So, uh, shareholder would like to ask about the, what would be the gross profit margin for the new factory?",2091.21,2093.37
 our own factory.,2097.45,2098.554
" Maybe Koonzoo, you can help us",2099.274,2102.298
" To explain it,",2102.826,2104.698
" As I mentioned to the today, we have all year long",2104.746,2106.33
 manufacturing,2106.378,2109.7160000000003
 service company.,2109.7160000000003,2113.722
" So, uh",2115.114,2118.234
 Uhhh,2118.474,2121.306
 new factory,2121.738,2125.54
 or,2125.54,2126.49
 All fixedity,2126.73,2132.05
.,2132.05,2133.114
 Implement our automation,2133.258,2136.09
 To reduce our cost.,2136.33,2140.122
 uh,2141.034,2142.33
 Oh,2142.474,2143.29
" all 50, we were tried",2143.626,2145.786
 our best to,2146.698,2148.186
 uh... must have cool,2151.498,2152.41
 me at me by,2152.458,2154.138
 I want to add that Falcon is,2154.186,2156.322
 a very large company.,2156.322,2158.458
 reduce the,2158.506,2160.7889999999998
 cost of living,2160.7889999999998,2163.834
 reduce the cost of their transactions.,2164.074,2166.906
 ,2167.146,2167.146
 uh,2167.146,2171.61
