,text,start,end
131,รถ ชาร์จ พับ,491.658,492.666
132,ถ้าผิดก็บูรณ์นะครับ ไปต่างๆ,493.29,495.162
18," In the field of research, paper, and paper,",495.594,499.29
133,โอกาสเลือก,499.434,500.826
134,ในออร์โน้ตนะครับถ้าเราถามทันตแพทย์เนี่ยก็จะ,501.258,504.162
135,มีบทบาทการใช้โปรเกติกเนี่ยเป็นระยะสุดท้าย,504.162,507.066
136,มากขึ้นเรื่อยๆ นะครับ,507.21,508.506
137,เราก็อยากจะเรียนว่าจริงๆแล้วสูตรของเราเนี่ยเป็นสูตรที่ดีๆเอ่อ,510.57,514.074
138,เพราะนะครับเราใส่สารจักรไม่มากรสชาติอ่อนโยน,514.698,517.506
139,เพื่อสร้างสมดุลของแบคทีเรียนะครับในช่องปลั๊ก,517.506,520.314
140,"จริงๆแล้วแบคทีเรียในช่วงปลายมีถึง 50,000 ล้านตัว",521.034,524.73
141,บางครั้งก็จะชอบคนเล่นว่า เออ จุดพันธุ์มุมเนียนแล้วเปลี่ยนทั้งเจ็ดสิบตันตัว,525.546,529.53
142,ฉะนั้นก็ควรจะใช้หยาบสิทธิ์ก่อนที่จะสร้างผลดึงของแบคทีเรียในช่องปาก,530.346,534.138
143,เพราะว่าช่องปากที่ดีเนี่ยเป็นพื้นฐานนะครับ,534.858,537.21
144,ในการที่จะมีชีวิตที่ยืนยาวแล้วก็ชะลอไว้นะครับ,538.314,541.146
145,ทำไฟ,542.634,543.546
19, And the tomatoes will be tomatoes.,543.69,544.794
146,รับประทานได้แถว,545.61,546.618
147,พอเราตลอดทั้งเดือนอาหารที่ดีเนี่ยก็จะทำให้สุขภาพดีนะครับ,547.722,551.706
148,แล้วก็ตัวนี้ที่เราคิดว่าเป็นนักวัฏจำนะครับซึ่งอยู่ภายใต้ประชาชนเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศรษฐกิจเศร,553.386,559.482
149,,559.482,559.482
150,ไทยอินเตอร์ฟอร์มาสถูกหุ้น 51% ภายในเนี่ย,559.818,562.468
151,ถูกหุ้น 49% ออกซิลอินเตอร์ฟอร์มาส 4 ติดตาม,562.468,565.338
152,อันนี้เราก็หลังจากเรา,565.866,567.738
153,ลองเข้ามาตลาดกันจ้ะก็,567.882,569.946
154,ผมคิดว่าน่าจะถึงเวลาที่เราจะเริ่ม,570.378,572.922
155,ที่จะให้คนรู้จักแอ้มหลัง,572.97,575.034
20, The US price is US$600,575.85,578.106
156,ผมก็คิดว่าตัวเนี้ย,578.73,579.93
157,จริงๆแล้วเป็นวัตกรรมมากเลยครับผมเองก็,580.074,582.6419999999999
158,ทานทุกวัน ให้คุณแม่ทาน ให้ลูกๆทานเนี่ย,582.6419999999999,585.2099999999999
159,พอพบว่ามีสิ่งเหล้า,585.546,586.842
160,หยุดพันลงไปท้องตลาด,589.002,590.394
161,ใน EDSA ได้ถึงไม่เกินแค่ร้อยกว่าบริกรรม,590.442,593.562
162,600 มิลลิกรัมเนี่ยจะเชื่อเท่ากับแกนปลา,594.186,596.346
163,แต่เราจะเก็บ bsa 600 ไม่กลับต้องผ่าตามถึง 20 กิโลกรัม,596.394,599.994
164,อันนี้ก็มาด้วย Position 20 กิโลกรัม,600.522,602.874
165,แล้วก็อย่างที่จะเห็นคำว่าโรงงานยุทธยาเนี่ยอันนี้เราก็ทำได้กับปีที่แล้วครับ,603.69,607.29
166,แผนที่เราจะควักให้เป็น EU standard ถ้าเป็น standard,608.682,611.706
167, ระดับโลกสามารถจะควักออกไปทั่วโลกได้,611.706,614.298
168,สำหรับคุณความอยาก,614.922,615.834
169,นะครับซึ่งเป็นเป็นของโลกนะครับ,615.882,617.754
170,เพราะปัจจุบันเดียวกันจะเป็นโรคตากันค่อนข้างมากนะ,618.282,621.239
171,ครับไม่ว่าเด็กที่จะเป็นสายการ์ดสั้น คนแก่มากขึ้นก็จะ,621.239,624.393
172,มีสายการ์ดยาวมากขึ้นมีท่อประจกมากขึ้นท่อดินมากขึ้น,624.393,627.547
173,อักเสบมากขึ้นนะครับ,627.882,629.178
174,แล้วก็นี่ครับ,630.09,631.098
21, I believe it will be a success in 2020.,631.242,634.938
175,เพราะว่ามันจะมีกระบวนการผลิตเทคโนโลยี คลานเฟอร์ ขึ้นทะเบียนในระบบ,635.946,639.354
176,แล้วก็เราก็มีแผนนะครับที่เราก็จะทำตรงไปสู่,641.418,645.306
22, modern,645.45,648.186
177,ความสุขเพราะมีแผลเยื่อความยาวมองยาวน้ำ,649.002,652.026
178,นุกมณ์สมุนไพรนะครับเนื่องจากว่า,652.458,654.618
179,โครงงานสนับสนุนประการเราได้รับอนุญาตในการผลิต,654.666,657.402
180,เป็นผสมไปแล้วนะครับ,658.698,660.378
181,สมมติไทยก็เป็นเทรนิคของโลก,660.81,662.682
182,ผมคิดว่าลูกอมก็เป็นลูกอมที่มี,663.69,667.098
183,พอแก่งไปได้นะครับ,667.914,669.498
184,มีชายชายข่าวที่ป้องกันการติดเชื้อหรือการอักเสบได้,669.93,673.242
185,แล้วก็ในแง่ของสัตว์นะครับเป็นการสุขภาพแล้วก็ควบคุมจอเลยครับ,675.498,678.81
186,สามเหรียญหัว,679.338,680.346
187,ไม่ว่าเราจะเป็นยานะครับ,680.778,682.962
188,ถึงยาสำหรับน้องหมาน้องแมว,682.962,685.146
189,เสิร์ฟหรือว่าแสดงว่าปัดสำหรับ,686.634,688.506
190,สำเนียงรถแมวนะครับ,689.13,690.618
191,ไม่ว่าจะเป็นชำพูนะครับก็,691.242,693.21
192,เปรียบเสมือนเลขสำคัญของล้อหมาล้อแมวเนี่ย,693.546,696.09
193,ก็เซ็นทีหลักแร่อันดับหนึ่ง,696.33,697.626
194,แล้วก็ไม่ว่าจะเป็นอาหารสุขภาพ,698.73,700.928
195,นะครับของเราเป็นเว็บโปรดักส์ที่,700.928,702.906
196,ทั้ง Pre-Severative Pre-Key ทั้ง Gluten-Free,703.146,706.434
197, Grain-Free และยังไป Pre-Beretic Cyclo-Omega 3,706.434,709.722
198,ปัจจุบันเราก็ส่งออกไปห้าประเทศนะครับ,710.442,713.178
199,แล้วก็ยังขึ้นเรียนอยู่อีกสองประเทศนะครับก็น่าจะ,713.898,716.922
200,ฝงออกเลย พอดี ซึ่งปีนี้อาจจะฝงออกไปทั้งหมด 7 ประเภท,717.354,720.762
201,เดือนหน้าเราก็จะมีการไปออกบูที่,721.29,723.425
202,ตัวของเราเพื่อจะเปิดตลาดที่ยุ่งหลงที่ไว้,723.425,725.7539999999999
203,นะครับอันนี้ก็อยู่ภายใต้บริษัทร่วมทุนระหว่าง,727.434,729.786
204,อินเตอร์ฟอร์มาแล้วก็,730.698,732.09
205,ก็เป็นเอเชียนนะครับเอเชียนอะไรอ่ะอันสุดนะครับ,733.77,736.218
206,เราถือหุ้น 60% นะครับ,736.554,738.234
207,ห้องเย็น Ascent อะไรอันนั้นถือว่ามี 40% นะครับ,738.378,741.594
208,มีก็มีคำว่าเป็นทางสุขภาพแบบพกวงจร,742.506,745.192
209,แล้วก็คำว่าต้นน้ำเดินไปน้ำเนี่ย,745.192,747.258
23," Nowadays, we have 2 factories",747.69,750.0630000000001
24,", especially in Kutiyak",750.0630000000001,751.9620000000001
210,จะมีไทยหลอดแทนยื่น,752.106,753.594
211,ความการวิจัยแล้วก็พัฒนา,753.642,755.034
212,หลังจากนั้นก็จะมีการผลิตนะครับ,755.562,757.626
213,ทั้งฟอร์ม่าแล้วก็มีการพิจารณา,758.154,760.506
214,คุณออกไปทาง,760.938,761.946
215,ดับรูปไฟล์,762.186,763.482
216,เสิร์ฟไม่ใช่น้ำมันปากก็ไม่ใช่สำอาง,764.202,766.746
217,ความสนใจเรื่องแล้วก็เจอผลิตนะครับ,767.37,769.242
218,ไปน้ำไปสิบวันเราก็มีหลังใช้ยา,769.578,771.45
219,แต่ก็มีโรงพยาบาลอยู่ในแต่งที่เรา,772.266,774.33
220,รูป นะ คือ เปอร์เซ็นต์ นะ ผม,774.378,775.674
25, And we move on.,776.298,778.362
221,พูดถึงกรณีโรงงานยุทธยาปัจจุบันแล้วก็,778.986,781.434
222,Fill capacity ได้,781.674,783.354
223,มากยิ่งเนื่องจากการที่เราก็จะ,783.498,785.73
224,ไปคุยหาฟาร์ดเลอร์ชิปเพิ่มนะครับ,785.73,787.962
225,ซึ่งก็ยังเป็น on-trowing process อยู่เรื่อยๆนะครับ,788.778,792.09
226,หรือว่านักลงทุนหลายท่านก็มีได้ไป,792.81,794.9449999999999
227,ถึงครับในแง่ของปลายน้ำเนี่ยปัจจุบันเนี่ย,794.9449999999999,797.2739999999999
228,เขามาซื้อแล้วก็มีการขยายเพิ่มอีก,798.474,800.5540000000001
229, 7 สาขาในปีนี้ก็เป็น 27 สาขา,800.5540000000001,802.8420000000001
230,แล้วก็คิดว่าถึงสิ้นปีนะครับเพราะเอาจริงจริงแล้วเราสามสิบห้า,803.85,807.642
231,แต่น่าจะจบที่ประมาณสามสิบถึงสามเท่าที่เป็นหลักชาติ,807.978,810.81
26, because many places,811.53,813.498
232,กับแสดงหลอดอย่างความพิเศษแต่ไม่สมพื้นที่,813.834,817.242
233,เพราะเรื่องของการที่จะต้องได้รับไป,818.25,820.914
234,หรือยาติยาก็ต้องใช้เวลาด้วย,820.914,823.578
235,ในการยื่นของออกยอมในการเจ็บป่วยก้าวทุกอย่าง,823.722,826.17
236,อันนี้ก็จะเป็นสาขาใหม่ใหม่นะครับที่เราจะ,831.018,833.9150000000001
237,เปิด หรือต้องบอกนะครับที่เอ่อเพิ่งเปิดไปนะครับเมื่อเมื่อ,833.9150000000001,837.018
238,วันที่ยี่สิบเจ็ดกันยาย,838.794,841.338
239,ตรงนี้ก็เป็นสามครับ สี่ นั่นสี่ยี่สิบ,842.346,845.082
240,เป็นสัปดาห์ที่แปด,845.994,847.194
241,แล้วก็ยังมีสาขาใหม่ที่เราจะเปิดร่วมกับภาวะเศรษฐกิจ,849.834,853.05
242,หรือสถานีน้ำมันทองตะทองเนี่ย,853.29,855.834
27, More,856.458,858.33
243,ในในไทยมากน่าสนใจ,858.474,860.058
244,เปิดเดือนหน้าเป็นตุลาคม,860.106,861.498
28, It will be a question mark from the top 10 of the prototype.,862.218,864.954
29, uh,865.578,867.45
245,กด พิมพ์ ภาวนี บวก สิบ สอง,867.498,869.082
246,อันนี้จะเป็นสัตว์ครับ รุ่นแบบของสัตว์หลีกหลักก่อนก็พอ,869.898,873.594
247,เหมือนลักษณะคล้าย ๆ คอมมิวนิตี้มอล,873.738,875.61
248,บริษัทการนึงจะอยู่ที่ 2 แถม,876.042,878.202
249,ก็แผนที่จะเปิดร่วมกันก็จะอยู่ประมาณ 12 ฝั่ง,879.498,882.81
250,อ๋อ ขอบคุณครับ,884.682,885.594
251,มีใช้ได้,885.93,887.13
252,อยู่ในรูปแบบ,888.042,888.858
253,ก็คือต้องเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติมเติม,888.906,890.682
254,เผื่อโรงพยาบาลไม่พอครับ,892.17,893.37
255,นครพัดที่นครสีธรรมูลาปัจจุบันก็กำลังอยู่,893.418,896.824
256,อินโดเวศน์ ถ้าได้ลงไปที่นครสีธรรมูลาจะเห็นว่า,896.824,900.4739999999999
257,กำลัง Revolver นะครับในนี้ก็จะ,900.81,902.898
258,เป็นภาพว่าหลักกับดอก Revolver เสร็จเนี่ย,902.898,904.986
259,รถจะเป็นโรงพยาบาลระดับมาตรฐานหักศาล,905.322,907.29
260,เราคิดว่าเรามีเป้าหมายทั้ง,907.914,909.786
261,ผู้ป่วยชาวไทยแล้วก็ต่างชาตินะครับไม่ว่าจะมาจากกระบี่,911.274,914.612
262,จากในต่างต่างรวมทั้งนครศรีธรรมราชเองก็เป็นจังหวัดยัง,914.612,917.754
263,อุณหภูมิภาคก่อนค่อนข้างมาก,918.186,920.058
264,ก็จะมีโซบิดในไวน์ต่างๆ,921.45,923.418
265,วงเติบโยวจะเซ็ตเจ็ต,924.522,926.405
266, ครับ ทอมมาสเตอร์ ศูนย์ล้างไป,926.405,928.602
267,ส่วนกันเนาะ หลักภูมิแพ้แล้วก็อย่างงี้ของเอสเซอร์ติกเรื่องความงาม,928.746,932.634
268,ส่วนสูตรสุขภาพแกลลี่,934.794,937.357
269, Beauty Center,937.357,939.066
270,ปีที่แล้วเนี่ย อ่อ ยัง,943.434,945.018
271,หรือว่าหลบก็ได้,945.066,946.554
272,เซตเตอร์วอร์ดนี้ให้พอร์ตอินโดนีเซีย,946.698,948.954
273,เป็นบริษัทที่,949.002,950.202
274,บ๊วย เรียนวัตกรรม,950.538,951.642
275,ในใหม่โดยเฉพาะเรื่องของโควิด-19 เราก็ยังเป็นผู้นำอยู่,951.978,955.29
276,แล้วก็อย่างที่เรียนได้แต่ใครมากที่แล้ว,957.45,959.994
277,ปัจจุบันแล้วก็ทาง TCI ก็เป็นที่ไปฝากในการนำบริษัท,960.042,963.45
278,และ ธรรมดา หรือ และ แพร์นิเทิลตลาด,963.69,966.234
279,แล้วก็กดเข้าบริษัท Adversary ในการที่จะ,968.394,971.322
280,รวมบัตรนักชวนครับช่องตลาด,971.658,973.05
281,ทีนี้เป้าหมายของบริษัทก็ยังเหมือนเดิมนะครับ,975.114,977.562
282,เบรกอันนี้ก็,978.186,979.194
283,จะยังไม่อัปเดตเพราะว่า,979.242,980.634
284,เรากำลังเอ่อเริ่มทำแผนของห้าปีเมื่อหน้า,981.066,983.778
285,นะครับคือสองพันยี่สิบสองพันยี่สิบแปด,983.778,986.49
30, we will have a review of our happy now.,987.306,990.138
