true_text,pred_text
เป็นเรื่องของผลประกอบการ,เรื่องของผลประกอบการ
รวมทั้งต่อเนื่องไปถึง,ทั้งต่อเนื่องไปถึง
industry outlook,สินดาที่เอาลูกละกอล์ฟ
แล้วก็รวมทั้งเป็นอัพเดทการลงทุนของกลุ่มบริษัทที่มีในปัจจุบัน,รวมทั้งเป็นอัปเดตการลงทุนของกลุ่มบริษัทที่มีในปัจจุบัน
ก็จะให้ทางคุณณัฐสิทธิ์เริ่มได้เลยครับ,เราจะให้ทางกลุ่มนักทรัพย์สินเริ่มได้เลยครับ
ขอบคุณครับ,ขอบคุณครับ
อันนี้เราอยากพามาดู,ที่เราอยากจะพามาดูกับตัว
business timeline,วิเศษทำลายนะครับ
นะครับ ว่าที่ผ่านมาเนี่ย,ว่าที่ผ่านมาเนี่ย
บริษัทของเราได้ลงทุนอะไรไปบ้าง,เราได้ลงทุนอะไรไปบ้าง
แล้วก็ซื้อดีลอะไรบ้าง,แล้วก็ซื้อดีลอะไรบ้าง
แล้วก็ขยายธุรกิจอะไรไปบ้างหลังจากที่เราเข้าตลาดเนี่ย,พยายามที่จะติดอะไรไปบ้างหลังจากที่เราเข้าตลาดไง
เราได้เริ่มเข้าตลาดในปี2017นะครับ,เราได้เริ่มเข้าตลาดในปีธรรมะ 17 นะครับ
แล้วก็ในปี2018เนี่ย,แล้วก็ในปี 2018 เนี่ย
เราได้เข้าซื้อบริษัทดีจีพีสิงคโปร์นะครับที่ลงทุนเกี่ยวกับธุรกิจบรรจุภัณฑ์สําหรับสินค้าอันตรายและเคมีภัณฑ์,เขาได้เข้าซื้อบริษัท DGP Singapore ที่ลงทุนเกี่ยวกับธุรกิจบรรจุพันธุ์สำหรับสินค้าอันตรายและเคมีพันธุ์
ซึ่งมีการขยายขอบเขตการให้บริการซึ่งแต่เดิมเนี่ยเราได้ให้บริการเพียงแค่ในภายในประเทศนะครับ,เชื่อมในการขยายตอบเขตการให้บริการซึ่งแต่เดิมเนี้ยเราให้เราได้ให้บริการเพียงแค่ในภายในประเทศนะครับ
ต่อมาในปี 2019,ต่อมาในปี 2019
เราได้ขยายธุรกิจ,เราได้ขยายธุรกิจ
ในการเข้าซื้อตัว,ในการเข้าซื้อตัว AIS
altga authka ผ่านทาง sal,LTGA หรือว่าออตก้า ผ่านทาง SAL
ซึ่งเป็นการขยายธุรกิจตัวของ,ซึ่งเป็นการขยายธุรกิจตัวของการผลิต
gapandering นะครับ,Handling นะครับ
ซึ่งแต่เดิมเนี่ย,ซึ่งแต่เดิมเนี่ยเราให้คำว่า
เราให้บริการเพียงแค่ตัวของ cargo,โซลิดเพียงแค่ตัวของคาร์โก้
แต่หลังจากนั้น,หลังจากนั้นเนี่ย
หลังจากที่เราเข้าซื้อ,หลังจากที่เราเข้าซื้อเนี่ย
เราได้ไปเข้าเพิ่มในส่วนของบริการ,เราได้ไปเข้าเพิ่มในส่วนของบริการส่วนของ
ส่วนของ passenger ด้วย,พาเซ็นเจอร์ด้วย
ถัดมาในปี 19 ต่อมา,ถัดมาในปี 1922
เราได้เข้าซื้อตัว allow logistics,ไม่ได้เข้าซื้อตัว Allow Logistics
management ที่ประเทศฮ่องกง,ที่ประเทศฮ่องกง
ซึ่งเป็นการขยายธุรกิจการให้บริการส่วนของ,ซึ่งเป็นการขยายธุรกิจการให้บริการส่วนของ GSI
gsa,เอ ไป
ไปในระดับภูมิภาคเพิ่มมากขึ้นนะครับ,ไปในระดับคุณภาพเพิ่มมากขึ้นนะครับ
ในปี 2020 เนี่ยครับ,ในปี 2020 เนี่ยครับ
บริษัทเราได้เข้าซื้อธุรกิจตัว,บริษัทเราได้เข้าซื้อธุรกิจตัวกลายเป็น
galaxy ranger,และที่ Venture
ซึ่งเป็นธุรกิจ startup,ซึ่งเป็นธุรกิจสตาร์ทอัพ
ที่ลงทุนเกี่ยวกับโลจิสติกส์,ที่ลงทุนเกี่ยวกับลอติสติก
ซึ่งในดีลนี้,ในดีลนี้
เราได้ทั้งความรู้เกี่ยวกับสตาร์ทอัพต่างๆ,เราได้ทั้งความรู้เกี่ยวกับสารอัพต่างๆ
ทั้งหลอดฟิสิกส์ต่างๆ,ทั้ง รอที่สิก ต่าง ๆ รวม
รวมทั้งรู้ว่าดีลไหนที่เราควรลงทุน,ส่วนท้ายรู้ว่าดินไหนที่เราควรลงทุน
หรือว่าไม่ควรลงทุนด้วยนะครับ,หรือว่าไม่ควรลงทุนด้วยนะครับ
ปี 2021,ปี 2021
ทางบริษัทเองเราเล็งเห็นว่า,ทางบริษัทเองเนี่ยเราเรียนเห็นว่า
เราควรจะต้องเติบโตในธุรกิจที่เป็นเกี่ยวกับภายในประเทศเพิ่มมากขึ้น,เราควรจะต้องเติบโตในธุรกิจที่เป็นเกี่ยวกับพันธุ์ประเภทเพิ่มมากขึ้น
ซึ่งโดยธุรกิจหลัก,ซึ่งโดยธุรกิจหลักนั้น
เราเป็นธุรกิจที่ระหว่างประเทศซะส่วนใหญ่,เป็นธุรกิจที่ระหว่างประเทศสัดส่วนใหญ่
เราเลยหาแหล่งรายได้ใหม่ ๆ,เราเลยหาแหล่งรายได้ใหม่ใหม่ที่จะ
ที่จะลงทุนเกี่ยวกับภายในประเทศ,ลงทุนเกี่ยวกับภายในประเทศ
เราเดินเข้าไปลงทุนในธุรกิจตัว,เราเดินเข้าไปลงทุนในธุรกิจตัว Kip
ship smile,ทำไม
แล้วก็ make sense,ก็มีอีกเสียงซึ่งเป็น
ซึ่งเป็นธุรกิจเกี่ยวข้องกับ,เป็นธุรกิจเกี่ยวข้องกับ
ธุรกิจขนส่งสินค้าภายในประเทศที่เกี่ยวข้องกับสินค้า,ธุรกิจผลส่งสินค้าภายในประเทศที่เกี่ยวข้องกับสินค้า
e commerce,ก็คือสมมติ
ในปี2022ครับธุรกิจของทริพเพิลไอเนี่ยก็ได้เข้าซื้อบริษัทเอเชียจีเอสเอเอ็มที่มาเลเซียซึ่งเป็นชิ้นส่วนสําคัญในรายการเพิ่มคุณความสมบูรณ์ของธุรกิจจีเอสเอในการมุ่งสู่การเป็นผู้นําในระดับภูมิภาค,ปี 2022 ครับ ธุรกิจของ GRIP เนี่ยก็ได้เข้าซื้อบริษัท Asia GSM ที่มาเลเซีย ซึ่งเป็นชิ้นส่วนสำคัญในการเพิ่มคูณความสมบูรณ์ของธุรกิจ GSA ในการวุ่งสู่การเป็นผู้นำในระดับภูมิภาค
และต่อมาเราได้มีการทําการปรับโครงสร้างใหม่ของธุรกิจ,ต่อมาเราได้เป็นการทำการปรับโครงสร้างใหม่ของธุรกิจจีน
gsa,GSA
ให้อยู่ภายใต้ธุรกิจภายใต้ของ ANI,ให้อยู่ภายใต้ของธุรกิจภายใต้ของ A9
เพื่อเตรียมตัวเข้าสู่ listed,เพื่อเตรียมตัวเข้าสู่ลิสเต็ดในตลาด
ในตลาดหลักทรัพย์ในปีถัดไปครับ,อัพทรัพย์ในปีถัดไปครับ
ส่วนในปี 2023 นั้น,ในปี พ.ศ. 2023 นั้น
ทางทริพเพิลไอเอง,triple IA นะครับ
ได้เตรียมตัวในการนํา ANI,ในการนำ ANI ของเรา
เข้าจดทะเบียนใน,จุดที่เป็นในรัฐตนเอง
set ภายในสิ้นปีนี้ครับ,ภายในสิ้นปีนี้ครับ
อันนี้คือธุรกิจทั้งหมดของทริพเพิลไอที่ผ่านมาจะเห็นได้ว่าเราลงทุนในธุรกิจที่เป็นโลจิสติกส์ที่มันเกี่ยวเนื่องกัน,อันนี้คือธุรกิจทั้งหมดของชีวิตปลายที่ผ่านมาจะเห็นได้ว่าเราลงทุนในธุรกิจที่เป็นโลจิสิกส์ที่มันเกี่ยวเนื่องกัน
ทั้งการเพิ่มขยายความสามารถในการแข่งขัน,ทั้งการเพิ่มขยายความสามารถในการแข่งขัน
เพิ่มในของตัว,เพิ่มในของตัว
เอ่อ,เอ่อ พอร์ตเคส
ขอบเขตการให้บริการและก็เซอร์วิสต่างต่างให้มันครอบคลุมเซอร์วิสโลจิสติกส์ให้ครอบคลุมทางเอเชียเพิ่มมากขึ้นครับ,การให้บริการและสวิตช์ต่าง ๆให้มันควบคุมสวิตช์ลอร์จิติกให้ควบคุมทางเอเชียเพิ่มมากขึ้น
ในส่วนถัดไปนะครับตัวนี้จะเป็นตัวbussinessของเราทั้งกรุ๊ปของทริปเปิ้ลไอเอง,และส่วนถัดไปนะครับตัวนี้จะเป็นตัวพิเศษของเราทั้งครูของทีมพนัยเอง
ซึ่ง,ซึ่ง
ซึ่งบริษัททริพเพิลไอโลจิสติกส์เนี่ยได้ให้บริการโลจิสติกส์แบบครบวงจรในระดับภูมิภาค,ซึ่งบริษัทที่ My Logistics ได้ให้บริการโลจิสติกส์แบบครบวงจรในระดับภูมิภาค
ซึ่งแบ่งเป็นสี่bussinessย่อยด้วยกันนะครับ,ซึ่งแบ่งเป็นสี่วิเศษย่อยด้วยกันนะครับมีหนึ่ง
มีหนึ่งเป็นAir Freightนะครับ,เป็น AirFace นะครับ
ชนิดที่สองเป็นChemical,อันที่สองเป็นเคมีเฟิล
ธุรกิจที่สามเป็นLogistics,ธุรกิจที่ 3 เป็น Logistics Management
management,อันดับหนึ่ง
และธุรกิจที่สี่เป็น Sea and,ธุรกิจที่ 4 เป็น C&E แล้ว
inland transport,การค้าสปอร์ต
ซึ่งเรามาดูตัวAir Freightก่อน,เรามาดูตัวแอร์เฟรดก่อน
ตัวAir Freightจะแบ่งเป็นสี่ business,ว่า AirFace จะแบ่งเป็น 4 พิเศษด้วย
ด้วยกันนะครับ business,วิชาที่แรก
แรกคือตัว gsa,คือตัว gsa หรือว่า
หรือว่าตัว general sales agent,หรือว่าตัว General Sales Agent
หรือเรียกว่าเป็นตัวแทนขายระหว่างให้แก่สายการบิน,หรือเรียกว่าเบิร์นตัวแทนขายระหว่างให้แก่สายการบิน
ซึ่งหน้าที่ของเขาคือ,หน้าที่ของเขาคือ
สายการบินจะ appoint,ก็ยิงอาจจะ App Point
มาให้เราดูแลที่เป็นในฐานะ gsa,ให้เราดูแลที่เป็นในฐานะ gsa ด้วย
ดูแลบริหารจัดการพื้นที่ใต้ท้องระวังทั้งหมดของสายการบิน,ดูแลบริหารจัดการพื้นที่ใต้ท้องระวางทั้งหมดของสายการบิน
ในการขนส่งสินค้านะครับ,การขนส่งสินค้า
ส่วนที่ 2,ตัว
ตัว Wholesale Freight Forwarder,Hole Self-Face Forwarder
เป็นธุรกิจรับจัดการขนส่งสินค้า,เป็นธุรกิจรับจัดการขนส่งสินค้า
ซึ่งตัว hold sales flash folder,ตัว Whole Self-Pay ของเฟรดบอเดอร์
เอง จริงๆ,จริงๆ แล้ว
แล้วเป็นลูกค้าของตัว,เป็นลูกค้าของตัว
gsa หรือว่า General Sale Agent,Ex-A หรือว่า General Service Agent
ส่วนที่ 3 ของแอร์นั้นก็คือธุรกิจ,ส่วนที่ 3 ของแอนนั้น คือธุรกิจ
Ground Handling and Air,Hairing and Aircraft
Cargo Terminal,โอ้ ชุมนุมราวของตัวเอง
ตัวนี้เป็นธุรกิจที่ให้บริการภาคพื้นแก่สนามบิน,เป็นธุรกิจที่ให้บริการภาคพื้นแก่สนามบิน
ผู้โดยสาร,แล้วก็
และก็เครื่องบินนะครับ เช่น,ก็เครื่องบินนะครับ เช่น
เวลามีเครื่องบินเข้ามาในสนามบินเนี่ย ธุรกิจเนี้ยคือจะลากเครื่องบินเข้า เข้าไปในท่าจอดทําความสะอาดเครื่องบิน เติมเชื้อเพลิงให้กับเครื่องบิน,มีเครื่องบินเข้ามาในสนามบิน ธุรกิจนี้คือจะลากเครื่องบินเข้าในท่าจอด ทำความสะอาดเครื่องบิน เติมเสื้อเพลิงกับเครื่องบิน
รวมทั้งรวมทั้งทําความสะอาดภายใน,รวมทั้งทำความสะอาดภายใน
ภายในสนามบินด้วย,ภายในสนามบินด้วย
และยังมีตัวAir Cargo Terminal เป็นคลัง เป็นคลังสินค้าที่,และยังมีตัว AirTago Terminal เป็นทางสินค้าที่
ที่เอาไว้ให้สินค้าผ่านคลังสินค้าที่สนามบินครับ,ที่เอาไว้ให้สินค้าผ่านทางสินค้าที่สามบิลครับ
ธุรกิจที่สองเป็นธุรกิจ,ธุรกิจที่ 2 เป็นธุรกิจ
chemical ซึ่งธุรกิจ chemical,ซึ่งธุรกิจเคมิเคล้า
หลักๆ จะให้บริการแก่ลูกค้าที่เป็นต่างชาติ,หลักๆจะเป็นให้บริการแก่ลูกค้าที่เป็นต่างชาติ
ซึ่งเป็น global brand เกือบทั้งหมด เช่น,ซึ่งเป็นโกลเบิลแบรนด์เกือบทั้งหมด เช่น
Dow Chemical,ดาวเคมีเคล้า
Henkel BASF,Hankel BASF
ซึ่งตัว chemical,ซึ่งตัวอัคคีมันข้อแนะ
เนี่ยแบ่งหลักๆ เป็น 2 part,แบบอย่างหลักๆเป็นสองพอร์ตครับ
ครับ เป็น part,เป็นพัด
International แล้วก็,อินเตอร์เนสต์ แล้วก็
Domesic,ก็ไม่ได้สิ
ฝั่งของ inter,ของอินเตอร์เนี่ย
เนี่ยจะเป็นพวก Freight Forwarder,จะเป็นพวกเฟสเฟอร์วอร์ดเดอร์
ต่างๆ เช่น ขนส่งสินค้าทางอากาศ,อย่างเช่น ผลส่งสินค้าห้างอากาศ
แล้วก็ทางทะเล,แล้วก็ทานทะเล
ส่วนฝั่งของ,ฝั่งของด้วย
Domestic,สมัยสี่เราให้
เราให้บริการส่วนของคลังสินค้าที่เป็น,ที่เป็นรายการส่วนของทางสินค้า
Dedicated,บริษัทเทรดเป็นสิ่งที่
เป็นสินค้าเฉพาะทางสําหรับเคมีภัณฑ์และสินค้าอันตราย,เฉพาะทางสำหรับเคมีพันธุ์และก็สิคะอันตราย
แล้วก็ยังให้บริการส่วนของขนส่งสินค้าทางทางบกนะครับ,และยังให้บริการส่วนของขนส่งสินค้าทั้งหมด
ส่วนของ DG Packaging,ดีจีแพ็คเกจจิ้งให้
ให้เป็นบริการ,เป็นบริการ
pick and pack บรรจุภัณฑ์,พริกแอนด์แพ็คมันจูบมัน
หรือฝ่ายผลิตภัณฑ์บรรจุสําหรับสินค้าอันตรายและผลิตภัณฑ์ในการขึ้นเครื่องบิน,หรือขายผลิตภัณฑ์บรรจุสำหรับสินค้าอัตราและที่พันธุ์ในการขึ้นเครื่องบิน
และสุดท้ายคือตัว,และสุดท้ายคือตัว
ISO tank ที่จะเป็นขนส่ง,โชว์แทงค์ที่จะเป็นขนส่ง
Liquid transport ครับ,Touchboard ครับ
ส่วนที่ 3,อันดับที่ 3
เป็นกลุ่มของ,ของโลจิน
logistics management,British Management
ซึ่งเป็น business model,ต้องเป็น Business Model จากแพลตฟอร์ม
จะคล้าย ๆ,คล้าย ๆ กลุ่ม
กลุ่มของ,ของ
chemical,เทมิเคิล
ที่แตกต่างกันเพียงแค่ตัวสินค้า,ที่แตกต่างกันเพียงแค่ตัวสินค้า
ที่เป็นตัว,ที่เป็นตัวเจน
general goods,เป็นแนวรับกูธ
หรือเป็นสินค้าทั่ว ๆ ไป,ในสินค้าทั่ว ๆ ไป
ซึ่งแบ่งเป็น short part เช่นกัน,ซึ่งแบบมันสะพัดเช่นกัน
part,ก็
แรกจะเป็นส่วนของ international,เป็นสุดของ International Phase
freight,คือเป็น
ก็คือเป็นขนส่งทางอากาศแล้วก็ทางทะเล,เป็นขนส่งอีกทั้งอากาศและทางทะเล
ส่วนที่ 2 เนี่ยจะเป็นส่วนของ,ส่วนที่ 2 จะเป็นส่วนของดอลแมนด์
domestic,สล็อตโรม่า
มีทั้ง warehouse,มีทั้งแวร์เฮ้า
ทํา distribution,ดิสฟิวชั่น
นะครับ ทํา fulfillment,ทำ Fulfillment
แล้วก็ทําตัว drop point service,แล้วก็ทำตัวดอกดอกคอยน์เซอร์วิส
drop point,พอสมควร
service,เนี่ย
เนี่ยเราจะทําผ่านตัว,เราจะทำผ่านตัวสบาย
sabuy speed,Speed
นะครับ ตัวที่เราไป,ตัวที่เราไป
เป็นตัวที่เราถือขึ้นอยู่ใน,เป็นตัวที่เราถือขึ้นอยู่ใน 3 ตัว
sabuy speed,สบายสปีดขึ้นมา
ซึ่งให้บริการเป็นจุด,ให้บริการเป็น ทำเป็นจุด
drop point,คอย พิมพ์
pick up point,อภัย
ซึ่งให้บริการแก่พวก,ให้บริการแก่เพราะว่า อ่า
service provider ต่าง ๆ เช่น,โควิด โภวเดอร์ต่าง ๆ เช่น
orange ที่เป็น fighting brand,ออเดรนซ์ที่เป็นไฟติ้งแบรนด์ของ
ของเคอรี่,ของ ของเคอร์รี่
รวมทั้ง,ทั้ง
current express,Experience เอ็กซ์เพลส
รวมทั้งเป็นของ,ทำเป็นของ
lazada express,SaraExperts
แล้วก็เป็นของนินจาต่างๆนะครับ,มันก็เป็นของวินจาต่างๆนะครับ
ส่วน super express service,ส่วน Super Express Service เนี่ย
เป็นตัวของ make sense นะครับ,เป็นตัวของ make sense นะครับ
ที่ให้บริการขนส่งสินค้าแบบเร่งด่วนมากๆ,ที่ให้ว่าที่ให้บริการผมส่งสินค้าแบบเร่งด่วนมากมาก
ภายใน same day,ในเซมี
ซึ่งให้บริการทั้งกรุงเทพฯ,ให้บริการทั้งกรุงเทพและเมือง
และก็ปริมณฑล,แล้วก็ปริมาณคน
ส่วนที่ 4 เป็นส่วนสุดท้าย เป็น,ส่วนที่ 4 เป็นส่วนสุดท้ายเป็นตัว
service ที่เกี่ยวกับ,ที่เกี่ยวกับ
sea and inland transport,Andy Land touch sport
ซึ่งแบ่งเป็น 4 service,เป็น 4 สวิตช์ด้วยกัน
ด้วยกันนะครับ,นะครับ
ส่วนที่ 7,มิจฉันแรก
แรกคือตัวแทนสายเรือนะครับ,คือเป็นตัวตัวแทนสายเรือนะครับ
ที่เราเป็นตัวแทนให้กับ,ที่เราเป็นตัวแทนให้กับตัวเรา
secureline ซึ่งมีรูทสําคัญก็คือ,ซึ่งมีรู้สำคัญก็คือ
ทั้งไทย,ไทย
ไปญี่ปุ่น แล้วก็เกาหลี,ญี่ปุ่น แล้วก็เกาหลี
ส่วนที่ 2,อันดับที่ 2 เป็น
เป็น Wholesale Freight Forwarder,เป็น ห้องเช่า โปรดเดอร์
ที่เราทําผ่านทาง,ที่เราผ่านทาง ทำผ่านทาง
joint venture คือตัว,คือตัว
ECU worldwide นะครับ,คั่วไว้นะครับ
ที่ให้บริการขนส่งสินค้าแบบ,ให้บริการของส่วนสินค้าแบบเลสได้
Less than Container Load,Cortenial Loans
ซึ่งโดยปกติแล้วการขนส่งสินค้าทางเรือเนี่ย,ซึ่งโดยปกติแล้วการขนส่งชนะข้างเรือ
เป็นขนส่งสินค้าแบบเต็มตู้,คุณส่งสินค้าแบบเต็มตู้มา
หมายความว่าลูกค้าจะขนส่งต้องเหมาทั้งตู้นะครับ,แต่ว่าลูกค้าจะขนส่งต้องเหมาทั้งตู้นะครับ
ตัวของECU worldwide เป็น Less than,ของไอ้คู่อาวาสเนี่ยเป็น less than คู่ทั้งสอง
Container Load หมายความว่า,คอนเทนเนอร์โหลดหมายความว่า
ลูกค้าบางรายมีสินค้าที่ไม่ต้องจําเป็นต้องซื้อทั้งตู้,ลูกค้าบางรายเนี่ยมีสินค้าไม่ที่ไม่ต้องจะเป็นต้องซื้อทางตู้
ทาง ECU ก็เลยจับลูกค้าแต่ละรายนํามา,คู่ก็เลยจับลูกค้าเสียร้ายนี่ นำมา
console เป็นตู้เดียวกัน,คอนโซเป็นตู้เดียวกัน
แล้วก็จัดส่งไปที่ปลายทางที่เหมือนๆกัน,แล้วก็จะส่งไปที่ปลายทางที่เหมือนเหมือนกัน
ส่วนอันที่ 3 คือ,อันที่สามคือ
inland container,Cortener Truck
trucking service,กินสวิตช์ก็แล้ว
เป็นรถหัวลากให้บริการรถหัวลากให้กับลูกค้าภายในประเทศ,ลดหัวลากให้ให้บริการลดหัวหัวลากนะครับให้กับลูกค้าภายในประเทศ
ซึ่งเราจะลากอาจจะจากท่าเรือไปคลังสินค้า,ที่เราจะลากอาจจะจากชาติเรือไปทางสินค้า
หรือจากสินค้าไปท่าเรือครับ,หรือจับสินค้าไปท่าเรือครับ
ส่วนอันสุดท้ายนะครับ เป็นตัว,ศูนย์อันสุดท้ายนะครับเป็นตัว
domestic คือการขนส่งสินค้าทางราง,Domestic คือการขนส่งสินค้าทางราง
ทั้งภายในประเทศ และก็ต่างประเทศ,ทั้งภายในประเทศ แล้วก็ต่างประเทศ
ซึ่งเซอร์วิสนี้เป็นเซอร์วิสใหม่ที่เราเพิ่งทํา,ซึ่งสูตรนี้เป็นสูตรใหม่ที่เราเพิ่งทำ
ส่วนของ international เราให้บริการทางรางตั้งแต่ไทย,ส่วนของ เราให้บริการทางลางตั้งแต่ไทย
ไปลาว,ถ้า
ผ่านจีน แล้วก็ไปทางยุโรปครับ,ทางอาหารจีนและทางยุโรป
อันนี้คือเป็นเซอร์วิสทั้งหมดของทางทริพเพิลไอนี้ครับ,อันนี้คือเป็นสวิตช์ทั้งหมดของทางที่ว่าอย่างงี้ครับ
ต่อไปเรียนเชิญคุณวิรัชในการให้ข้อมูลทางด้าน financial ครับ,ต่อไปเรียนเชิญยินรับในการให้ข้อมูลทางด้าน Financial ครับ
ครับ,so that
สวัสดีอีกครั้งนะครับ นักลงทุนนะครับ,อีกครั้งนะครับ นักลงทุนนะครับ
ก็ขอบคุณคุณณัฐสิทธิ์นะครับ ที่ให้ข้อมูลกับนักลงทุนนะครับ ก็จะเห็นว่าทางกลุ่ม,ก็ขอบคุณคุณนัททัศน์นะครับที่ให้ข้อมูลเนี่ย นักลงทุนนะครับก็จะเห็นได้ว่าทางกลุ่ม
บริษัท,โดยทราบ
ทริพเพิลไอ โลจิสติกส์ จํากัด (มหาชน),ซึ่งประวัติศาสตร์ที่สำกัดมหาลัย
เนี่ย เราให้บริการในธุรกิจโลจิสติกส์ โดยเราแยกออกเป็น,เราให้บริการในธุรกิจโดยเราแยกออกเป็น
4 หมวดนะครับ ก็คือขนส่งทางอากาศ ซึ่งเป็นธุรกิจหลักนะครับ เรารองลงมาก็ธุรกิจที่เกี่ยวกับโลจิสติกส์สําหรับสินค้าเคมีภัณฑ์และสินค้าอันตราย,มวลนะครับก็คือผลทรงทางอากาศซึ่งเป็นธุรกิจหลักนะครับ เราลองมาก็ธุรกิจที่เกี่ยวกับสำหรับสินค้าเคมีภาระสินค้าอันตราย
แล้วเราก็มีโลจิสติกส์ให้กับสินค้าทั่วไป,มันก็มีโลจิสติกส์ให้กับสินค้าทั่วไป
รวมทั้งมีการขนส่งทางทะเลและก็ทางบกนะครับ ซึ่งจากที่เราเข้าตลาดมานะครับ แรกเริ่มเราก็มี,ทั้งมีการประสงค์ทางทะเลและทางบก จากที่เราเข้าตลาดมา ได้เริ่มลดวิสิต
4 กลุ่มธุรกิจนี้ เราเรียกว่าเป็นออแกนิคเดิมของเรา,กลุ่มธุรกิจนี้เราเรียกว่าเป็น Organic เดิมของเรา
หลังจากเข้าตลาดตามที่คุณณัฐสิทธิ์ได้แจ้งไทม์ไลน์,เข้าตลาดตามที่คุณนักศึกษ์ได้แจ้งทำรายได้
เรามีการขยายกิจการหลาย ๆ รูปแบบแล้วส่วนใหญ่จะเป็นการร่วม,เป็นการขยายกิจการหลาย ๆ รูปแบบแล้วส่วนใหญ่จะเป็นการร่วม
ลงทุนหรือเข้าไปเอ็มแอนด์เอหรือเข้าไปควบรวมซื้อกิจการอะไรต่างต่างนะครับเราก็เลยมองภาพที่เราเจอกับตัวว่าเป็นอินออร์แกนิกนะครับงั้นตัวเลขที่เราชี้แจงให้กับทางลงทุนนะครับในทุกทุกครั้งและทุกไตรมาสเราก็แยกให้ไปดูเป็นสองส่วนนะครับว่าเป็นส่วนที่เราเรียกภายในว่าเป็นส่วนเรียกว่าออร์แกนิก,หรือเข้าไป M&A หรือเข้าไปควบรวมซื้อจัดการอะไรต่างๆ เราก็เลยมองภาพที่เราเตือนเติบโตว่าเป็น inorganic นะครับ งั้นตัวเลขที่เราชี้แจงให้กับทางลงทุนในทุกๆครั้งแล้วทุกไตรมาสเราก็แยกให้ไปดูเป็น 2 ส่วน ว่าเป็นส่วนที่เราเรียกภายในว่าเป็นส่วนเรียกว่า organic
business ของเรา,สิ่งใหญ่ของเรา
และก็ยังเป็น 4,ยังมี 4 กลุ่ม
กลุ่มธุรกิจนะครับ,ธุรกิจนะครับ
ในภาพรวมของตัวเลขที่เป็น,เป็นภาพรวมของตัวเลขที่เป็น
organic,ก็คือ
ของเราเนี่ยครับ ก็,สำหรับเรื่องราว
9 เดือนของกลุ่มทั่วไปนะครับ,ของกลุ่มที่วัดนะครับมีระดับ
มีรายได้อยู่ทั้งสิ้น,"ได้อยู่ทั้งสิ้น 1,000 บาท"
"1,276 ล้านบาท",276 ล้านบาท
ในตัวรายได้ก็จะลดลง,แต่ตัวรายได้ก็จะลดลง
ถ้าเทียบกับ,ถ้าเทียบกับ 9 เดือนแล้ว
9เดือนแรกของปีก่อนหน้า,ของปีก่อนหน้านะครับ
ลดลง 12%,ลดลง 12%
